company_name,country,assets,date,price,sector,operating,debt_to_assets,age
adidas,germany,15176.0,2016-05-25T00:00:00.000Z,114.343,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-26T00:00:00.000Z,115.56,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-27T00:00:00.000Z,115.577,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-30T00:00:00.000Z,115.767,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-31T00:00:00.000Z,114.927,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-01T00:00:00.000Z,115.921,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-02T00:00:00.000Z,117.012,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-03T00:00:00.000Z,116.786,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-06T00:00:00.000Z,117.466,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-07T00:00:00.000Z,119.4,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-08T00:00:00.000Z,119.402,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-09T00:00:00.000Z,119.202,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-10T00:00:00.000Z,118.21,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-13T00:00:00.000Z,116.312,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-14T00:00:00.000Z,115.107,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-15T00:00:00.000Z,114.789,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-16T00:00:00.000Z,116.357,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-17T00:00:00.000Z,117.849,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-20T00:00:00.000Z,121.429,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-21T00:00:00.000Z,124.07,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-22T00:00:00.000Z,123.453,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-06-23T00:00:00.000Z,124.187,consumer discretionary,7.73,10.66,66
